We can't specify a product.,Produk tidak ditemukan
Product added to Wishlist.,Produk berhasil ditambahkan ke Wishlist
The requested Wish List doesn't exist.,The requested Wish List doesn't exist.
Wishlist Item doesn't exist.,Wishlist Item doesn't exist.
Wishlist doesn't exist.,Wishlist tidak ditemukan
Wishlist item deleted successfully.,Produk pada wishlist berhasil dihapus
We can't delete the item from Wish List right now because of an error,We can't delete the item from Wish List right now because of an error
We can't delete the item from the Wish List right now.,We can't delete the item from the Wish List right now.
%1 added to wishlist successfully.,%1 berhasil ditambahkan ke Wishlist
