"No Promotions Found","No Promotions Found"
"Promotion data has been successfully saved.","Promotion data has been successfully saved."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"row data no longer exist.","row data no longer exist."
