Unauthorized Customer for this Order,Unauthorized Customer for this Order
Your Order is not using Bank Transfer Method.,Order Anda tidak menggunakan metode pembayaran Bank Transfer
Your Amount is not Same,Jumlah pembayaran tidak sesuai
File cannot be saved to path,Dokumen tidak dapat disimpan
Submit Bank Transfer Confirmation Success.,Konfirmasi Bank Transfer berhasil
"Submit Bank Transfer Confirmation Failed, please try again.","Konfirmasi Bank Transfer gagal, silakan coba kembali"
