"Unauthorized Customer for this Order","Unauthorized Customer for this Order"
"Your Order is not using Bank Transfer Method.","Your Order is not using Bank Transfer Method."
"Your Amount is not Same","Your Amount is not Same"
"File cannot be saved to path","File cannot be saved to path"
"Submit Bank Transfer Confirmation Success.","Submit Bank Transfer Confirmation Success."
"Submit Bank Transfer Confirmation Failed, please try again.","Submit Bank Transfer Confirmation Failed, please try again."
